classifer,parameters,auc-roc,p_at_5,r_at_5,f1_at_5,p_at_10,r_at_10,"f1_at_10,",p_at_20,r_at_20,f1_at_20,run_time
DT,"{'max_features': 'log2', 'min_samples_split': 2, 'criterion': 'gini', 'max_depth': 10}",0.768346185985,0.425902864259,0.316248348745,0.362974755515,0.317559153176,0.471598414795,0.379544971295,0.216010673783,0.641611624835,0.323207453003,0.069217
DT,"{'max_features': 'log2', 'min_samples_split': 5, 'criterion': 'gini', 'max_depth': 10}",0.766948388123,0.407045009785,0.302245706737,0.34690319157,0.317826009607,0.471994715984,0.379863916649,0.216010673783,0.641611624835,0.323207453003,0.073687
DT,"{'max_features': 'log2', 'min_samples_split': 10, 'criterion': 'gini', 'max_depth': 10}",0.779955396636,0.428927237146,0.318494055482,0.365552270487,0.328767123288,0.488243064729,0.392940676164,0.231309762064,0.687054161162,0.346098818832,0.073729
DT,"{'max_features': 'sqrt', 'min_samples_split': 2, 'criterion': 'gini', 'max_depth': 20}",0.581145696078,0.349581924924,0.259577278732,0.297930407096,0.223714641523,0.332232496697,0.267382521795,0.135645986213,0.402906208719,0.202961237731,0.121673
DT,"{'max_features': 'sqrt', 'min_samples_split': 5, 'criterion': 'gini', 'max_depth': 20}",0.634361706474,0.374844333748,0.278335535007,0.319460238041,0.249243906778,0.370145310436,0.297894960663,0.154903268846,0.460105680317,0.231775079022,0.1191
DT,"{'max_features': 'sqrt', 'min_samples_split': 10, 'criterion': 'gini', 'max_depth': 20}",0.662138451904,0.356520192137,0.264729194188,0.303843529679,0.276018502046,0.409907529723,0.329895811184,0.177851901268,0.528269484808,0.266112127766,0.123101
DT,"{'max_features': 'log2', 'min_samples_split': 2, 'criterion': 'gini', 'max_depth': 20}",0.560171665635,0.332681017613,0.247027741083,0.283526646956,0.212684575698,0.315852047556,0.254199447161,0.134044918835,0.398150594452,0.200565629679,0.134211
DT,"{'max_features': 'log2', 'min_samples_split': 5, 'criterion': 'gini', 'max_depth': 20}",0.636846982106,0.345312222025,0.256406869221,0.294291562429,0.239637075254,0.355878467635,0.286412927918,0.153480097843,0.455878467635,0.229645649642,0.11887
DT,"{'max_features': 'log2', 'min_samples_split': 10, 'criterion': 'gini', 'max_depth': 20}",0.682668168357,0.358477139299,0.266182298547,0.305511333485,0.265966909803,0.394980184941,0.317882202849,0.178296642206,0.529590488771,0.266777574447,0.120275
DT,"{'max_features': 'sqrt', 'min_samples_split': 2, 'criterion': 'gini', 'max_depth': 50}",0.606781558287,0.359544565024,0.266974900925,0.306421044652,0.495463440669,0.735799207398,0.592175207314,0.336668890371,1.0,0.503743137581,0.122584
DT,"{'max_features': 'sqrt', 'min_samples_split': 5, 'criterion': 'gini', 'max_depth': 50}",0.634863493843,0.300302437289,0.222985468956,0.2559320749,0.247020103184,0.366842800528,0.295237082713,0.336668890371,1.0,0.503743137581,0.119979
DT,"{'max_features': 'sqrt', 'min_samples_split': 10, 'criterion': 'gini', 'max_depth': 50}",0.67575134061,0.318448674613,0.236459709379,0.271397164734,0.251556662516,0.37357992074,0.300659153732,0.336668890371,1.0,0.503743137581,0.131022
DT,"{'max_features': 'log2', 'min_samples_split': 2, 'criterion': 'gini', 'max_depth': 50}",0.609004166951,0.364703789361,0.270805812417,0.310817981957,0.497420387831,0.738705416116,0.594514139911,0.336668890371,1.0,0.503743137581,0.120294
DT,"{'max_features': 'log2', 'min_samples_split': 5, 'criterion': 'gini', 'max_depth': 50}",0.636275654222,0.330190357588,0.245178335535,0.281403987567,0.275484789183,0.409114927345,0.329257920476,0.336668890371,1.0,0.503743137581,0.103488
DT,"{'max_features': 'log2', 'min_samples_split': 10, 'criterion': 'gini', 'max_depth': 50}",0.677942594374,0.33214730475,0.246631439894,0.283071791373,0.258939690447,0.384544253633,0.309483308526,0.336668890371,1.0,0.503743137581,0.13374
DT,"{'max_features': 'sqrt', 'min_samples_split': 2, 'criterion': 'gini', 'max_depth': 100}",0.607468469136,0.360256182174,0.26750330251,0.307027518763,0.499822095713,0.742272126816,0.597384648097,0.336668890371,1.0,0.503743137581,0.11709
DT,"{'max_features': 'sqrt', 'min_samples_split': 5, 'criterion': 'gini', 'max_depth': 100}",0.638024111444,0.304038427326,0.225759577279,0.259116063983,0.259295499022,0.385072655218,0.309908568999,0.336668890371,1.0,0.503743137581,0.127722
DT,"{'max_features': 'sqrt', 'min_samples_split': 10, 'criterion': 'gini', 'max_depth': 100}",0.673716405291,0.316491727451,0.23500660502,0.269729360928,0.251556662516,0.37357992074,0.300659153732,0.336668890371,1.0,0.503743137581,0.128853
DT,"{'max_features': 'log2', 'min_samples_split': 2, 'criterion': 'gini', 'max_depth': 100}",0.606735643079,0.360611990749,0.267767503303,0.307330755818,0.488525173457,0.725495376486,0.58388262811,0.336668890371,1.0,0.503743137581,0.124794
DT,"{'max_features': 'log2', 'min_samples_split': 5, 'criterion': 'gini', 'max_depth': 100}",0.645401142594,0.304750044476,0.226287978864,0.259722538094,0.247464863903,0.36750330251,0.295768658303,0.336668890371,1.0,0.503743137581,0.115595
DT,"{'max_features': 'log2', 'min_samples_split': 10, 'criterion': 'gini', 'max_depth': 100}",0.676801068661,0.325920654688,0.242007926024,0.2777651429,0.263743106209,0.391677675033,0.315224324899,0.336668890371,1.0,0.503743137581,0.112431
