model_type,clf,parameters,auc-roc,p_at_5,p_at_10,p_at_20,run_time
DT,DT,"{'criterion': 'gini', 'max_depth': 100, 'max_features': 'sqrt', 'min_samples_split': 10}",0.6768837801383879,0.3216,0.2578666666666667,0.3396,0.299603
DT,DT,"{'criterion': 'gini', 'max_depth': 100, 'max_features': 'log2', 'min_samples_split': 2}",0.6098568607880204,0.36906666666666665,0.48933333333333334,0.3396,0.344107
DT,DT,"{'criterion': 'gini', 'max_depth': 100, 'max_features': 'log2', 'min_samples_split': 5}",0.6372293913647527,0.30346666666666666,0.24213333333333334,0.3396,0.351311
DT,DT,"{'criterion': 'gini', 'max_depth': 100, 'max_features': 'log2', 'min_samples_split': 10}",0.6766538567113474,0.3274666666666667,0.25706666666666667,0.3396,0.358986
DT,DT,"{'criterion': 'entropy', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 2}",0.6673684503878791,0.6357333333333334,0.3178666666666667,0.3396,0.032156
DT,DT,"{'criterion': 'entropy', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 5}",0.7266539684773398,0.9509333333333333,0.47546666666666665,0.23773333333333332,0.080914
DT,DT,"{'criterion': 'entropy', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 10}",0.6532227173511851,0.464,0.6725333333333333,0.3396,0.049467
DT,DT,"{'criterion': 'entropy', 'max_depth': 1, 'max_features': 'log2', 'min_samples_split': 2}",0.603951538894717,1.0,0.5290666666666667,0.26453333333333334,0.057357
DT,DT,"{'criterion': 'entropy', 'max_depth': 1, 'max_features': 'log2', 'min_samples_split': 5}",0.7266539684773398,0.9509333333333333,0.47546666666666665,0.23773333333333332,0.053037
DT,DT,"{'criterion': 'entropy', 'max_depth': 1, 'max_features': 'log2', 'min_samples_split': 10}",0.7266539684773398,0.9509333333333333,0.47546666666666665,0.23773333333333332,0.059399
DT,DT,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2}",0.8292556100715245,0.48373333333333335,0.3552,0.25653333333333334,0.12093
DT,DT,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5}",0.8105688528443001,0.5002666666666666,0.34746666666666665,0.23893333333333333,0.140786
DT,DT,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10}",0.8039712613800949,0.496,0.336,0.22613333333333333,0.1264
DT,DT,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2}",0.7971859255141327,0.4613333333333333,0.3426666666666667,0.21853333333333333,0.126206
DT,DT,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 5}",0.8145287275724827,0.4650666666666667,0.35733333333333334,0.234,0.10643
DT,DT,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10}",0.8245528846403883,0.3930666666666667,0.35413333333333336,0.2276,0.166143
DT,DT,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2}",0.8147307937471385,0.45226666666666665,0.3432,0.22533333333333333,0.294414
DT,DT,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5}",0.8217244749023063,0.4634666666666667,0.33973333333333333,0.22906666666666667,0.295332
DT,DT,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10}",0.825057398576771,0.4496,0.3512,0.23093333333333332,0.239085
DT,DT,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 2}",0.8138113752416715,0.45226666666666665,0.3464,0.23013333333333333,0.279563
DT,DT,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 5}",0.8124399671998825,0.44693333333333335,0.35733333333333334,0.23386666666666667,0.226615
